transaction_id,date,client_id,client_name,client_tier,account_type,sku,units,gross_sales,discounts,refunds,shipping_revenue,fulfillment_cost,paid_ad_spend,memo
TXN-10167,2025-05-08,CLI-009,Echo Market,Standard,Gross Sales,SKU-D404,3,270.00,0.00,0.00,13.11,4.88,28.96,Email Newsletter Conversion
TXN-10168,2025-05-09,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,2,180.00,18.00,0.00,14.33,5.06,59.51,Organic search referral
TXN-10169,2025-05-10,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,4,360.00,36.00,0.00,13.62,6.38,44.51,Organic search referral
TXN-10170,2025-05-11,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,9.96,4.99,32.96,Email Newsletter Conversion
TXN-10171,2025-05-12,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,6.03,2.16,15.98,Organic search referral
TXN-10172,2025-05-13,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,5,400.00,40.00,0.00,12.27,16.62,42.67,Meta Ad Campaign #12
TXN-10173,2025-05-14,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,4,480.00,48.00,0.00,13.01,11.44,57.88,Direct Web
TXN-10174,2025-05-15,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,18,1350.00,135.00,0.00,102.28,40.19,32.23,Quarterly stock order
TXN-10175,2025-05-16,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,33,2475.00,371.25,0.00,101.05,87.38,38.83,PPC High CAC Campaign
TXN-10176,2025-05-17,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,7,630.00,63.00,0.00,9.99,15.92,40.28,Email Newsletter Conversion
TXN-10177,2025-05-18,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,6,540.00,54.00,0.00,11.94,20.98,24.01,Wholesale recurring contract
TXN-10178,2025-05-19,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,11.68,2.92,22.85,Organic search referral
TXN-10179,2025-05-20,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,7,630.00,63.00,0.00,12.94,17.62,20.46,Email Newsletter Conversion
TXN-10180,2025-05-21,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,33,2640.00,528.00,0.00,69.51,102.54,39.82,Influencer Promo
TXN-10181,2025-05-22,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,3.58,0.00,Item damaged in transport
TXN-10182,2025-05-23,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,1,0.00,0.00,45.00,0.00,3.35,0.00,Refund SKU-B202 quality issue
TXN-10183,2025-05-23,CLI-006,Apex Goods,Standard,Refunds,SKU-E505,1,0.00,0.00,120.00,0.00,4.30,0.00,Defective item return - High SKU-B202 return rate
TXN-10184,2025-05-24,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,4,480.00,48.00,0.00,6.62,13.48,25.15,Email Newsletter Conversion
TXN-10185,2025-05-25,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,6.25,6.32,22.40,Wholesale recurring contract
TXN-10186,2025-05-25,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,8.38,3.35,9.11,Influencer Promo
TXN-10187,2025-05-26,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,3.95,0.00,Refund SKU-B202 quality issue
TXN-10188,2025-05-26,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,7,560.00,56.00,0.00,7.90,23.89,36.73,Direct Web
TXN-10189,2025-05-27,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,2,160.00,16.00,0.00,9.40,4.94,24.18,Email Newsletter Conversion
TXN-10190,2025-05-27,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,32,2400.00,360.00,0.00,100.85,80.96,19.78,Email Newsletter Conversion
TXN-10191,2025-05-28,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,9.18,6.85,32.36,Influencer Promo
TXN-10192,2025-05-29,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,20,1500.00,225.00,0.00,77.35,65.16,37.38,Direct Web
TXN-10193,2025-05-29,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,7.81,8.09,30.76,Meta Ad Campaign #12
TXN-10194,2025-05-30,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,3,270.00,27.00,0.00,12.28,9.08,31.47,Wholesale recurring contract
TXN-10195,2025-05-31,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,28,2100.00,210.00,0.00,80.34,84.81,27.59,TikTok Paid Ad
TXN-10196,2025-06-01,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-D404,33,2970.00,445.50,0.00,115.12,99.33,23.96,Direct Web
TXN-10197,2025-06-01,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,10.19,5.39,32.11,PPC High CAC Campaign
TXN-10198,2025-06-02,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,49,3675.00,735.00,0.00,87.50,123.22,37.94,Wholesale recurring contract
TXN-10199,2025-06-03,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,31,2325.00,465.00,0.00,118.39,82.69,50.85,Google Shopping Ad
TXN-10200,2025-06-04,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,7,840.00,84.00,0.00,10.78,20.60,41.26,Influencer Promo
TXN-10201,2025-06-04,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,34,2720.00,272.00,0.00,42.53,115.48,19.95,Quarterly stock order
TXN-10202,2025-06-05,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,13.73,8.92,9.68,PPC High CAC Campaign
TXN-10203,2025-06-06,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-D404,43,3870.00,580.50,0.00,116.53,104.03,38.99,Organic search referral
TXN-10204,2025-06-07,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,3,270.00,27.00,0.00,10.58,5.85,58.78,Wholesale recurring contract
TXN-10205,2025-06-08,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,5,450.00,45.00,0.00,9.80,13.10,57.05,Organic search referral
TXN-10206,2025-06-09,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,5,450.00,45.00,0.00,13.18,17.05,51.21,TikTok Paid Ad
TXN-10207,2025-06-09,CLI-005,Lumina Living,VIP,Gross Sales,SKU-A101,4,320.00,32.00,0.00,11.56,11.98,24.63,PPC High CAC Campaign
TXN-10208,2025-06-10,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,3,270.00,27.00,0.00,11.16,8.02,25.91,Google Shopping Ad
TXN-10209,2025-06-10,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,11.81,3.55,34.04,Google Shopping Ad
TXN-10210,2025-06-11,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-D404,40,3600.00,720.00,0.00,100.47,82.98,27.84,Quarterly stock order
TXN-10211,2025-06-11,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,6,720.00,72.00,0.00,10.35,17.68,57.15,Quarterly stock order
TXN-10212,2025-06-12,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,35,2800.00,420.00,0.00,114.93,119.85,56.67,Email Newsletter Conversion
TXN-10213,2025-06-12,CLI-001,Aura Design Co,VIP,Refunds,SKU-E505,1,0.00,0.00,120.00,0.00,4.79,0.00,Customer dissatisfied SKU-B202
TXN-10214,2025-06-13,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,13.09,6.48,27.74,Quarterly stock order
TXN-10215,2025-06-14,CLI-003,Summit Outfitters,Wholesale,Refunds,SKU-A101,2,0.00,0.00,160.00,0.00,3.70,0.00,Defective item return - High SKU-B202 return rate
TXN-10216,2025-06-15,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,2,160.00,16.00,0.00,11.69,3.74,21.33,TikTok Paid Ad
TXN-10217,2025-06-16,CLI-004,Nova Retailers,Wholesale,Refunds,SKU-C303,2,0.00,0.00,150.00,0.00,4.26,0.00,Customer dissatisfied SKU-B202
TXN-10218,2025-06-17,CLI-010,Solstice Corp,Wholesale,Refunds,SKU-C303,1,0.00,0.00,75.00,0.00,2.19,0.00,Customer return - sizing issue
TXN-10219,2025-06-18,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,29,2320.00,464.00,0.00,91.10,98.06,31.54,Google Shopping Ad
TXN-10220,2025-06-19,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,48,3840.00,576.00,0.00,96.16,159.63,49.08,TikTok Paid Ad
TXN-10221,2025-06-20,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,48,3600.00,360.00,0.00,75.74,139.56,18.51,Direct Web
TXN-10222,2025-06-20,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-E505,22,2640.00,528.00,0.00,51.99,47.44,38.42,Direct Web
TXN-10223,2025-06-21,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,42,3150.00,472.50,0.00,76.27,106.11,35.56,Meta Ad Campaign #12
TXN-10224,2025-06-22,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,11,825.00,123.75,0.00,105.32,32.91,41.02,Wholesale recurring contract
TXN-10225,2025-06-23,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,5.32,2.32,28.76,PPC High CAC Campaign
TXN-10226,2025-06-24,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-D404,8,720.00,72.00,0.00,8.76,22.92,44.78,TikTok Paid Ad
TXN-10227,2025-06-24,CLI-009,Echo Market,Standard,Refunds,SKU-A101,1,0.00,0.00,80.00,0.00,4.98,0.00,Item damaged in transport
TXN-10228,2025-06-25,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,29,2175.00,326.25,0.00,73.93,65.50,25.33,Direct Web
TXN-10229,2025-06-26,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,12,960.00,192.00,0.00,89.19,40.47,55.01,TikTok Paid Ad
TXN-10230,2025-06-27,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,1,0.00,0.00,45.00,0.00,2.73,0.00,Customer return - sizing issue
TXN-10231,2025-06-28,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,13,975.00,97.50,0.00,119.48,25.59,56.24,Direct Web
TXN-10232,2025-06-29,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,30,2250.00,225.00,0.00,110.10,104.14,38.46,Wholesale recurring contract
TXN-10233,2025-06-30,CLI-005,Lumina Living,VIP,Gross Sales,SKU-B202,7,315.00,31.50,0.00,10.56,11.16,30.50,TikTok Paid Ad
TXN-10234,2025-07-01,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,5,400.00,40.00,0.00,6.49,11.26,48.95,TikTok Paid Ad
TXN-10235,2025-07-03,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,5,450.00,45.00,0.00,10.62,17.18,40.08,Meta Ad Campaign #12
TXN-10236,2025-07-07,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,22,1650.00,165.00,0.00,70.17,59.62,16.78,Wholesale recurring contract
TXN-10237,2025-07-09,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,40,3000.00,300.00,0.00,64.26,132.72,24.53,Organic search referral
TXN-10238,2025-07-11,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,23,1725.00,258.75,0.00,84.17,70.17,32.13,Quarterly stock order
TXN-10239,2025-07-18,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,23,1725.00,258.75,0.00,73.11,60.38,24.96,Organic search referral
TXN-10240,2025-07-21,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,22,1650.00,247.50,0.00,70.39,69.67,37.47,Quarterly stock order
TXN-10241,2025-07-22,CLI-006,Apex Goods,Standard,Gross Sales,SKU-D404,2,180.00,9.00,0.00,6.69,5.88,21.18,Organic search referral
TXN-10242,2025-07-23,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,12.64,2.32,30.75,Meta Ad Campaign #12
TXN-10243,2025-07-25,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,2,240.00,24.00,0.00,11.38,6.74,56.07,Influencer Promo
TXN-10244,2025-07-26,CLI-001,Aura Design Co,VIP,Refunds,SKU-E505,1,0.00,0.00,120.00,0.00,2.05,0.00,Customer dissatisfied SKU-B202
TXN-10245,2025-07-30,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,2,160.00,16.00,0.00,6.49,3.77,38.69,Direct Web
TXN-10246,2025-07-31,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,5,450.00,45.00,0.00,10.65,17.40,25.16,PPC High CAC Campaign
TXN-10247,2025-08-01,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,10.53,1.61,8.26,TikTok Paid Ad
TXN-10248,2025-08-05,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-E505,12,1440.00,144.00,0.00,112.10,34.61,40.51,Quarterly stock order
TXN-10249,2025-08-07,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,2,180.00,18.00,0.00,14.29,4.26,58.27,Email Newsletter Conversion
TXN-10250,2025-08-09,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,6,480.00,48.00,0.00,10.67,19.19,45.47,Quarterly stock order
TXN-10251,2025-08-12,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,2,90.00,4.50,0.00,8.41,6.08,33.78,Google Shopping Ad
TXN-10252,2025-08-14,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,5,600.00,60.00,0.00,7.28,13.03,31.89,PPC High CAC Campaign
TXN-10253,2025-08-18,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,2,180.00,18.00,0.00,6.54,5.85,43.53,Wholesale recurring contract
TXN-10254,2025-08-19,CLI-006,Apex Goods,Standard,Gross Sales,SKU-D404,2,180.00,0.00,0.00,6.33,3.75,20.12,Google Shopping Ad
TXN-10255,2025-08-31,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,34,2550.00,255.00,0.00,61.51,69.25,21.57,Email Newsletter Conversion
TXN-10256,2025-09-01,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,2,180.00,18.00,0.00,7.52,3.99,43.13,Organic search referral
TXN-10257,2025-09-02,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,10,750.00,112.50,0.00,107.33,22.60,53.80,Organic search referral
TXN-10258,2025-09-03,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-E505,3,360.00,36.00,0.00,8.21,10.18,24.04,Wholesale recurring contract
TXN-10259,2025-09-04,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,7,560.00,56.00,0.00,14.68,21.45,29.66,PPC High CAC Campaign
TXN-10260,2025-09-05,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-B202,6,270.00,27.00,0.00,6.80,18.21,16.21,Direct Web
TXN-10261,2025-09-06,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,14,1050.00,157.50,0.00,51.13,29.48,26.37,PPC High CAC Campaign
TXN-10262,2025-09-06,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,14,1120.00,168.00,0.00,78.34,32.22,37.80,Influencer Promo
TXN-10263,2025-09-07,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,4,320.00,32.00,0.00,10.94,13.32,19.92,Direct Web
TXN-10264,2025-09-07,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,49,3675.00,367.50,0.00,118.69,139.89,32.98,Influencer Promo
TXN-10265,2025-09-08,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,3,240.00,24.00,0.00,12.47,7.85,45.94,Direct Web
TXN-10266,2025-09-08,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,47,3525.00,705.00,0.00,52.06,164.28,36.72,Direct Web
TXN-10267,2025-09-09,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,2.94,0.00,Item damaged in transport
TXN-10268,2025-09-10,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,8.00,9.36,11.11,Google Shopping Ad
TXN-10269,2025-09-10,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,3,135.00,6.75,0.00,10.52,6.49,19.51,Email Newsletter Conversion
TXN-10270,2025-09-11,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,7,560.00,56.00,0.00,8.96,20.82,54.74,TikTok Paid Ad
TXN-10271,2025-09-12,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,3,240.00,24.00,0.00,12.52,9.35,17.82,Wholesale recurring contract
TXN-10272,2025-09-13,CLI-009,Echo Market,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,2.34,0.00,Item damaged in transport
TXN-10273,2025-09-14,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,11.17,6.25,27.06,PPC High CAC Campaign
TXN-10274,2025-09-15,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,30,2250.00,225.00,0.00,64.43,55.98,46.20,Quarterly stock order
TXN-10275,2025-09-16,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,5,400.00,40.00,0.00,9.87,12.87,56.36,Email Newsletter Conversion
TXN-10276,2025-09-17,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,18,1440.00,144.00,0.00,107.36,49.30,53.95,Organic search referral
TXN-10277,2025-09-17,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,5,600.00,60.00,0.00,10.05,12.45,45.81,Direct Web
TXN-10278,2025-09-18,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,11,825.00,82.50,0.00,42.62,21.45,27.99,Wholesale recurring contract
TXN-10279,2025-09-19,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,45,3375.00,675.00,0.00,85.82,91.61,39.44,Google Shopping Ad
TXN-10280,2025-09-19,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,6.02,6.32,28.29,TikTok Paid Ad
TXN-10281,2025-09-20,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,8,960.00,96.00,0.00,9.39,27.90,49.90,Google Shopping Ad
TXN-10282,2025-09-21,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-E505,50,6000.00,900.00,0.00,89.29,153.48,51.61,Email Newsletter Conversion
TXN-10283,2025-09-22,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,44,3300.00,330.00,0.00,118.32,91.75,40.77,Organic search referral
TXN-10284,2025-09-22,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,13.67,3.51,31.38,Wholesale recurring contract
TXN-10285,2025-09-23,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,2,90.00,4.50,0.00,11.28,4.50,10.04,Wholesale recurring contract
TXN-10286,2025-09-24,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,8.27,3.01,28.90,PPC High CAC Campaign
TXN-10287,2025-09-24,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,8.98,6.87,30.27,Direct Web
TXN-10288,2025-09-25,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,13.94,9.07,9.24,Organic search referral
TXN-10289,2025-09-26,CLI-008,Vanguard Supply,Wholesale,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,3.37,0.00,Item damaged in transport
TXN-10290,2025-09-27,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,27,2160.00,216.00,0.00,60.03,60.58,55.67,Organic search referral
TXN-10291,2025-09-28,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,8,640.00,64.00,0.00,9.29,13.46,19.28,Quarterly stock order
TXN-10292,2025-09-29,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,2.03,0.00,Customer dissatisfied SKU-B202
TXN-10293,2025-09-30,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,3,240.00,24.00,0.00,5.89,9.34,19.64,TikTok Paid Ad
TXN-10294,2025-09-30,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,5.68,2.63,24.48,Email Newsletter Conversion
TXN-10295,2025-10-01,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,13.60,3.35,10.71,PPC High CAC Campaign
TXN-10296,2025-10-02,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,37,2775.00,416.25,0.00,59.82,103.20,26.17,Email Newsletter Conversion
TXN-10297,2025-10-02,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,11,825.00,165.00,0.00,56.44,29.85,23.49,Wholesale recurring contract
TXN-10298,2025-10-03,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,3,360.00,36.00,0.00,8.86,5.95,43.71,PPC High CAC Campaign
TXN-10299,2025-10-04,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-B202,5,225.00,22.50,0.00,9.21,12.96,22.77,Influencer Promo
TXN-10300,2025-10-05,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,2.65,0.00,Customer return - sizing issue
TXN-10301,2025-10-06,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,6,480.00,48.00,0.00,9.24,13.83,43.82,TikTok Paid Ad
TXN-10302,2025-10-06,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,10.36,6.84,25.13,Email Newsletter Conversion
TXN-10303,2025-10-07,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,1,45.00,2.25,0.00,6.16,2.72,9.49,TikTok Paid Ad
TXN-10304,2025-10-07,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,10,800.00,80.00,0.00,116.24,25.46,50.23,PPC High CAC Campaign
TXN-10305,2025-10-08,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,27,2160.00,432.00,0.00,101.71,42.09,51.32,Google Shopping Ad
TXN-10306,2025-10-08,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,6,540.00,54.00,0.00,9.96,15.13,17.49,Google Shopping Ad
TXN-10307,2025-10-09,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,16,1280.00,256.00,0.00,58.27,40.28,16.98,Google Shopping Ad
TXN-10308,2025-10-09,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,5,600.00,60.00,0.00,6.79,17.10,16.59,Email Newsletter Conversion
TXN-10309,2025-10-10,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,7,560.00,56.00,0.00,7.71,11.59,31.78,Organic search referral
TXN-10310,2025-10-10,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,5.69,7.29,15.62,TikTok Paid Ad
TXN-10311,2025-10-11,CLI-006,Apex Goods,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,2.60,0.00,Refund SKU-B202 quality issue
TXN-10312,2025-10-11,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,4,360.00,36.00,0.00,14.72,13.98,49.91,Influencer Promo
TXN-10313,2025-10-12,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,2,90.00,4.50,0.00,8.46,6.36,31.68,Direct Web
TXN-10314,2025-10-12,CLI-006,Apex Goods,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,2.31,0.00,Refund SKU-B202 quality issue
TXN-10315,2025-10-13,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,3,240.00,24.00,0.00,5.93,10.03,55.38,Wholesale recurring contract
TXN-10316,2025-10-13,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,3,135.00,6.75,0.00,10.05,8.32,18.65,Google Shopping Ad
TXN-10317,2025-10-14,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-B202,4,180.00,18.00,0.00,13.51,13.41,32.68,Wholesale recurring contract
TXN-10318,2025-10-15,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,1,45.00,2.25,0.00,6.09,1.71,20.14,Influencer Promo
TXN-10319,2025-10-15,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,13.52,3.36,29.81,Wholesale recurring contract
TXN-10320,2025-10-16,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,19,1425.00,142.50,0.00,117.47,43.56,17.20,Quarterly stock order
TXN-10321,2025-10-17,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,38,3040.00,608.00,0.00,59.99,92.12,51.18,Direct Web
TXN-10322,2025-10-18,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,3,360.00,36.00,0.00,6.98,6.90,45.88,Email Newsletter Conversion
TXN-10323,2025-10-19,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-A101,1,80.00,4.00,0.00,13.09,1.68,30.88,PPC High CAC Campaign
TXN-10324,2025-10-19,CLI-006,Apex Goods,Standard,Refunds,SKU-A101,1,0.00,0.00,80.00,0.00,4.77,0.00,Item damaged in transport
TXN-10325,2025-10-20,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,5,400.00,40.00,0.00,8.54,16.58,27.37,Email Newsletter Conversion
TXN-10326,2025-10-20,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,49,3675.00,735.00,0.00,91.78,122.39,54.73,Quarterly stock order
TXN-10327,2025-10-21,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,3,135.00,6.75,0.00,12.95,10.44,29.11,Direct Web
TXN-10328,2025-10-22,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,5.26,5.39,8.79,Email Newsletter Conversion
TXN-10329,2025-10-23,CLI-005,Lumina Living,VIP,Gross Sales,SKU-E505,4,480.00,48.00,0.00,15.00,13.79,19.51,Influencer Promo
TXN-10330,2025-10-23,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-A101,24,1920.00,384.00,0.00,68.38,76.28,53.03,TikTok Paid Ad
TXN-10331,2025-10-24,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,32,2400.00,480.00,0.00,96.28,70.51,40.54,Meta Ad Campaign #12
TXN-10332,2025-10-25,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-D404,44,3960.00,594.00,0.00,79.23,73.94,25.47,Email Newsletter Conversion
TXN-10333,2025-10-26,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,14.19,3.19,16.74,Email Newsletter Conversion
TXN-10334,2025-10-27,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,17,1275.00,255.00,0.00,116.84,38.20,57.39,Organic search referral
